"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006334","nucleosome assembly","5/24","13/1638",0.384615384615385,26.25,11.1425494803448,5.18076341230855e-07,0.000198941315032648,0.000193324276806672,"H2BC4/H3C10/H4C5/H2BC11/H2BC8",5
"GO:0034728","nucleosome organization","5/24","13/1638",0.384615384615385,26.25,11.1425494803448,5.18076341230855e-07,0.000198941315032648,0.000193324276806672,"H2BC4/H3C10/H4C5/H2BC11/H2BC8",5
"GO:0065004","protein-DNA complex assembly","5/24","21/1638",0.238095238095238,16.25,8.57437900828871,7.57553130633296e-06,0.00145450201081593,0.00141343465689212,"H2BC4/H3C10/H4C5/H2BC11/H2BC8",5
"GO:0071824","protein-DNA complex organization","5/24","21/1638",0.238095238095238,16.25,8.57437900828871,7.57553130633296e-06,0.00145450201081593,0.00141343465689212,"H2BC4/H3C10/H4C5/H2BC11/H2BC8",5
"GO:0006325","chromatin organization","7/24","61/1638",0.114754098360656,7.83196721311475,6.62938192259404,1.47786110920924e-05,0.0022699946637454,0.0022059021609039,"H2BC4/HMGN5/H3C10/H4C5/H2AC6/H2BC11/H2BC8",7
"GO:0019731","antibacterial humoral response","4/24","15/1638",0.266666666666667,18.2,8.15817490256209,4.35531219692526e-05,0.00557479961206434,0.00541739710108774,"H2BC4/H2BC12/H2BC11/H2BC8",4
"GO:0006338","chromatin remodeling","6/24","50/1638",0.12,8.19,6.29458117920387,5.28195151413752e-05,0.00579505537551088,0.00563143402033609,"H2BC4/H3C10/H4C5/H2AC6/H2BC11/H2BC8",6
"GO:0050830","defense response to Gram-positive bacterium","4/24","22/1638",0.181818181818182,12.4090909090909,6.56779968041163,0.000217845935547127,0.0185895198333549,0.0180646512634986,"H2BC4/H2BC12/H2BC11/H2BC8",4
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","4/24","22/1638",0.181818181818182,12.4090909090909,6.56779968041163,0.000217845935547127,0.0185895198333549,0.0180646512634986,"H2BC4/H2BC12/H2BC11/H2BC8",4
"GO:0071459","protein localization to chromosome, centromeric region","3/24","10/1638",0.3,20.475,7.53058060500133,0.00031044507322763,0.023842181623882,0.0231690059914094,"H4C5/AURKB/H2BC11",3
"GO:0042742","defense response to bacterium","5/24","47/1638",0.106382978723404,7.26063829787234,5.30897460689883,0.000442516108825218,0.0308956701434334,0.0300233417375196,"H2BC4/H2BC12/H2BC11/H2BC8/OAS1",5
"GO:0034502","protein localization to chromosome","3/24","12/1638",0.25,17.0625,6.80803356807786,0.000558250588736171,0.0357280376791149,0.0347192690713987,"H4C5/AURKB/H2BC11",3
